Area,Country,Month_abbr,Year,Rate,Visitor_Arrivals,Month
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,2005,0.038467498,19860.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,2005,0.025356396,13091.0,1
East Asia,China,Jan.,2005,0.093770822,48412.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,2005,0.015743395,8128.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,2005,0.015731773,8122.0,1
East Asia,Hong Kong,Jan.,2005,0.034399938,17760.0,1
Southeast Asia & India,India,Jan.,2005,0.009891919,5107.0,1
Southeast Asia & India,Indonesia,Jan.,2005,0.007193771,3714.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,2005,0.005694584,2940.0,1
Southeast Asia & India,Malaysia,Jan.,2005,0.007689626,3970.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,2005,0.00193306,998.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,2005,0.002537383,1310.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,2005,0.008148679,4207.0,1
Others,Others,Jan.,2005,0.044716046,23086.0,1
Southeast Asia & India,Philippines,Jan.,2005,0.02313667,11945.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,2005,0.007823274,4039.0,1
Southeast Asia & India,Singapore,Jan.,2005,0.008303634,4287.0,1
East Asia,South Korea,Jan.,2005,0.338527543,174775.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,2005,0.002217789,1145.0,1
East Asia,Taiwan,Jan.,2005,0.148006895,76413.0,1
Southeast Asia & India,Thailand,Jan.,2005,0.010680251,5514.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,2005,0.035509801,18333.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,2005,0.111768808,57704.0,1
Southeast Asia & India,Vietnam,Jan.,2005,0.002750445,1420.0,1
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,2005,0.028935818,15031.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,2005,0.022671621,11777.0,2
East Asia,China,Feb.,2005,0.098373311,51101.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,2005,0.015479536,8041.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,2005,0.015371732,7985.0,2
East Asia,Hong Kong,Feb.,2005,0.072802526,37818.0,2
Southeast Asia & India,India,Feb.,2005,0.007885111,4096.0,2
Southeast Asia & India,Indonesia,Feb.,2005,0.004822315,2505.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,2005,0.004928195,2560.0,2
Southeast Asia & India,Malaysia,Feb.,2005,0.010301082,5351.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,2005,0.001607438,835.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,2005,0.002236938,1162.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,2005,0.007688754,3994.0,2
Others,Others,Feb.,2005,0.040492049,21034.0,2
Southeast Asia & India,Philippines,Feb.,2005,0.019797482,10284.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,2005,0.008041043,4177.0,2
Southeast Asia & India,Singapore,Feb.,2005,0.01316752,6840.0,2
East Asia,South Korea,Feb.,2005,0.286732376,148946.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,2005,0.002539175,1319.0,2
East Asia,Taiwan,Feb.,2005,0.185575405,96399.0,2
Southeast Asia & India,Thailand,Feb.,2005,0.0120221,6245.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,2005,0.033966042,17644.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,2005,0.10227544,53128.0,2
Southeast Asia & India,Vietnam,Feb.,2005,0.00228699,1188.0,2
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,2005,0.0298508,16646.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,2005,0.026248117,14637.0,3
East Asia,China,Mar.,2005,0.090827416,50649.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,2005,0.017484399,9750.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,2005,0.02178825,12150.0,3
East Asia,Hong Kong,Mar.,2005,0.048863066,27248.0,3
Southeast Asia & India,India,Mar.,2005,0.008121727,4529.0,3
Southeast Asia & India,Indonesia,Mar.,2005,0.008426583,4699.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,2005,0.006925615,3862.0,3
Southeast Asia & India,Malaysia,Mar.,2005,0.014964852,8345.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,2005,0.003850154,2147.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,2005,0.00309698,1727.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,2005,0.00997597,5563.0,3
Others,Others,Mar.,2005,0.049838606,27792.0,3
Southeast Asia & India,Philippines,Mar.,2005,0.023351983,13022.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,2005,0.009940105,5543.0,3
Southeast Asia & India,Singapore,Mar.,2005,0.014299548,7974.0,3
East Asia,South Korea,Mar.,2005,0.234852234,130963.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,2005,0.003877053,2162.0,3
East Asia,Taiwan,Mar.,2005,0.16095151,89753.0,3
Southeast Asia & India,Thailand,Mar.,2005,0.024171509,13479.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,2005,0.039760419,22172.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,2005,0.145104368,80916.0,3
Southeast Asia & India,Vietnam,Mar.,2005,0.003428735,1912.0,3
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,2005,0.030625969,17898.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,2005,0.022029206,12874.0,4
East Asia,China,Apr.,2005,0.096373069,56321.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,2005,0.02074414,12123.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,2005,0.018784886,10978.0,4
East Asia,Hong Kong,Apr.,2005,0.029061988,16984.0,4
Southeast Asia & India,India,Apr.,2005,0.008227157,4808.0,4
Southeast Asia & India,Indonesia,Apr.,2005,0.007854129,4590.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Apr.,2005,0.007819906,4570.0,4
Southeast Asia & India,Malaysia,Apr.,2005,0.014982735,8756.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,2005,0.00217828,1273.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,2005,0.002708733,1583.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,2005,0.009751782,5699.0,4
Others,Others,Apr.,2005,0.051553201,30128.0,4
Southeast Asia & India,Philippines,Apr.,2005,0.028365554,16577.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,2005,0.009219618,5388.0,4
Southeast Asia & India,Singapore,Apr.,2005,0.013492332,7885.0,4
East Asia,South Korea,Apr.,2005,0.208902715,122084.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,2005,0.003449657,2016.0,4
East Asia,Taiwan,Apr.,2005,0.205819242,120282.0,4
Southeast Asia & India,Thailand,Apr.,2005,0.035105731,20516.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,2005,0.03773233,22051.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,2005,0.131708093,76971.0,4
Southeast Asia & India,Vietnam,Apr.,2005,0.003509546,2051.0,4
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,2005,0.028312658,15027.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,2005,0.021842593,11593.0,5
East Asia,China,May,2005,0.095564407,50721.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,2005,0.017301866,9183.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,2005,0.018240157,9681.0,5
East Asia,Hong Kong,May,2005,0.031142605,16529.0,5
Southeast Asia & India,India,May,2005,0.011738062,6230.0,5
Southeast Asia & India,Indonesia,May,2005,0.008623613,4577.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,May,2005,0.007095593,3766.0,5
Southeast Asia & India,Malaysia,May,2005,0.013332027,7076.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,2005,0.002846904,1511.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,2005,0.003027779,1607.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,2005,0.008738545,4638.0,5
Others,Others,May,2005,0.05364464,28472.0,5
Southeast Asia & India,Philippines,May,2005,0.02938849,15598.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,2005,0.008938261,4744.0,5
Southeast Asia & India,Singapore,May,2005,0.014300464,7590.0,5
East Asia,South Korea,May,2005,0.215074084,114151.0,5
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,2005,0.003862444,2050.0,5
