Country,Lag,Correlation,Year
South Korea,-6,0.2653133207507803,2018
South Korea,-5,0.44902009861514547,2018
South Korea,-4,0.2800692793572268,2018
South Korea,-3,0.41763136300307996,2018
South Korea,-2,-0.03860162264328973,2018
South Korea,-1,0.055657423168017875,2018
South Korea,0,-0.4969645418990692,2018
South Korea,1,-0.0963492539874936,2018
South Korea,2,-0.11153841745495512,2018
South Korea,3,-0.7054763499737803,2018
South Korea,4,-0.3175218669454309,2018
South Korea,5,-0.08655875744555225,2018
South Korea,6,0.3575979130653699,2018
China,-6,,2018
China,-5,-0.3422258093107996,2018
China,-4,-0.0319927489167574,2018
China,-3,-0.46062280185973586,2018
China,-2,-0.12422869192091518,2018
China,-1,-0.1375812400018283,2018
China,0,-0.07043559106065249,2018
China,1,0.3853533985953482,2018
China,2,-0.010816778154987824,2018
China,3,-0.243329938587475,2018
China,4,-0.18046518676603482,2018
China,5,-0.13512846383050825,2018
China,6,0.2862874044862496,2018
Taiwan,-6,-0.19885494411211954,2018
Taiwan,-5,0.660908532021652,2018
Taiwan,-4,0.08860244458728288,2018
Taiwan,-3,0.3089012314149439,2018
Taiwan,-2,0.09491395370283114,2018
Taiwan,-1,-0.21034355493589035,2018
Taiwan,0,-0.5125387577119864,2018
Taiwan,1,-0.028770361913979466,2018
Taiwan,2,-0.27143621570092014,2018
Taiwan,3,-0.2228846780396472,2018
Taiwan,4,0.4627695122248976,2018
Taiwan,5,0.13401612590051995,2018
Taiwan,6,-0.23851783463125406,2018
Hong Kong,-6,-0.8477514849684323,2018
Hong Kong,-5,-0.7519909696358386,2018
Hong Kong,-4,-0.5976687088975396,2018
Hong Kong,-3,0.010838391569381777,2018
Hong Kong,-2,-0.11883841102633146,2018
Hong Kong,-1,0.05712314963039749,2018
Hong Kong,0,0.36719299997681193,2018
Hong Kong,1,0.14518779234952306,2018
Hong Kong,2,0.022892131619899166,2018
Hong Kong,3,-0.03642399952227596,2018
Hong Kong,4,0.4051487557497103,2018
Hong Kong,5,0.21557524092354202,2018
Hong Kong,6,-0.6662925387505981,2018
United States,-6,-0.1165244116719841,2018
United States,-5,-0.5521118761585235,2018
United States,-4,-0.452908398778212,2018
United States,-3,-0.1060419600053244,2018
United States,-2,-0.0010035399864180064,2018
United States,-1,-0.12610515195076827,2018
United States,0,-0.08690334439069754,2018
United States,1,-0.11670910757614962,2018
United States,2,0.25769260882625883,2018
United States,3,0.4863655432490456,2018
United States,4,0.0002155941013878611,2018
United States,5,0.15885216142443817,2018
United States,6,0.39283062501493193,2018
Thailand,-6,-0.22328793806527794,2018
Thailand,-5,-0.7570323765066038,2018
Thailand,-4,-0.5118411771935147,2018
Thailand,-3,-0.43838828676051805,2018
Thailand,-2,0.040296483467393306,2018
Thailand,-1,0.5235367334619017,2018
Thailand,0,0.4848240283024004,2018
Thailand,1,0.34966314447599556,2018
Thailand,2,0.3493611105065667,2018
Thailand,3,-0.18900778128050838,2018
Thailand,4,-0.48239010969260987,2018
Thailand,5,-0.7572118375609536,2018
Thailand,6,-0.9227836635519522,2018
South Korea,-6,0.08280697646045715,2019
South Korea,-5,0.43676034275226505,2019
South Korea,-4,0.43946969094338273,2019
South Korea,-3,0.4806493152150215,2019
South Korea,-2,0.3289826669363064,2019
South Korea,-1,0.022309039632025452,2019
South Korea,0,0.021265522436956508,2019
South Korea,1,-0.24200976193386906,2019
South Korea,2,-0.5606317107620191,2019
South Korea,3,-0.4907757290882648,2019
South Korea,4,-0.41144672228444923,2019
South Korea,5,-0.29278204885010184,2019
South Korea,6,0.18558844523746193,2019
China,-6,,2019
China,-5,,2019
China,-4,,2019
China,-3,,2019
China,-2,,2019
China,-1,,2019
China,0,-0.12077528158753448,2019
China,1,-0.21670164017314428,2019
China,2,-0.33556533090475354,2019
China,3,-0.29446881478780806,2019
China,4,-0.254427213670734,2019
China,5,0.10405941729741344,2019
China,6,0.6918791263119838,2019
Taiwan,-6,0.2586069001836526,2019
Taiwan,-5,-0.20047632316608552,2019
Taiwan,-4,-0.16464047398942336,2019
Taiwan,-3,0.018943559984555703,2019
Taiwan,-2,-0.12506108235338706,2019
Taiwan,-1,-0.5890724364979849,2019
Taiwan,0,-0.17067208767333983,2019
Taiwan,1,0.4489163906975938,2019
Taiwan,2,0.35087263999037716,2019
Taiwan,3,0.23941264165842796,2019
Taiwan,4,0.5198604038115937,2019
Taiwan,5,0.521414515831201,2019
Taiwan,6,-0.5973100888798949,2019
Hong Kong,-6,0.6095932961843311,2019
Hong Kong,-5,0.09962188375913276,2019
Hong Kong,-4,0.5901296020862797,2019
Hong Kong,-3,0.3097307606286809,2019
Hong Kong,-2,-0.2589584004680862,2019
Hong Kong,-1,-0.7844015562363444,2019
Hong Kong,0,-0.18773069167491896,2019
Hong Kong,1,0.3316440821445846,2019
Hong Kong,2,0.7765550813023234,2019
Hong Kong,3,-0.1688384725175366,2019
Hong Kong,4,-0.05749697277180348,2019
Hong Kong,5,-0.4145460876910022,2019
Hong Kong,6,-0.04594083538404334,2019
United States,-6,0.0764583022604678,2019
United States,-5,-0.19552605925815839,2019
United States,-4,-0.4295426142386846,2019
United States,-3,-0.16209611908757127,2019
United States,-2,-0.22536921464794826,2019
United States,-1,-0.39824026932022827,2019
United States,0,-0.0844496180920799,2019
United States,1,-0.019081266148082466,2019
United States,2,0.5366807914188373,2019
United States,3,0.34053924986074446,2019
United States,4,0.13010790647257478,2019
United States,5,0.22170884122194734,2019
United States,6,0.25675700787845707,2019
Thailand,-6,0.469721113931052,2019
Thailand,-5,-0.26264015070492286,2019
Thailand,-4,-0.1680032754579258,2019
Thailand,-3,-0.3125906592722109,2019
Thailand,-2,-0.6070775044745066,2019
Thailand,-1,-0.03052056704763034,2019
Thailand,0,0.010807204395948511,2019
Thailand,1,0.4586902711208693,2019
Thailand,2,0.6118546381276443,2019
Thailand,3,0.42815719813775943,2019
Thailand,4,-0.10140745112771275,2019
Thailand,5,-0.4396963799329685,2019
Thailand,6,-0.5845590744919431,2019
South Korea,-6,0.48553301960126954,2020
South Korea,-5,0.38781225432642713,2020
South Korea,-4,0.14762845207246375,2020
South Korea,-3,0.10178127392998204,2020
South Korea,-2,0.8421377385447189,2020
South Korea,-1,0.8773679348156643,2020
South Korea,0,0.043484269030481026,2020
South Korea,1,-0.2220664912168858,2020
South Korea,2,-0.4104842514980803,2020
South Korea,3,-0.571307975554355,2020
South Korea,4,-0.4422598232840411,2020
South Korea,5,-0.3517189569338887,2020
South Korea,6,-0.2899226045211301,2020
China,-6,-0.22484506191425063,2020
China,-5,-0.18700177754412764,2020
China,-4,-0.15977019301369905,2020
China,-3,-0.13938452364286777,2020
China,-2,-0.12322810069683146,2020
China,-1,0.8343014135484703,2020
China,0,0.44616399001042156,2020
China,1,0.4893528143314193,2020
China,2,0.19762891459592485,2020
China,3,-0.37131555008998524,2020
China,4,-0.4272933722385876,2020
China,5,-0.4935740565847001,2020
China,6,-0.5768872372820038,2020
