Country,Lag,Correlation,Year
South Korea,-6,-0.3343907562650416,2023
South Korea,-5,-0.1727701592657106,2023
South Korea,-4,-0.23465268477986423,2023
South Korea,-3,0.16781018889178598,2023
South Korea,-2,0.31440493935881875,2023
South Korea,-1,-0.4302958235357852,2023
South Korea,0,-0.23579642453438587,2023
South Korea,1,-0.46767573983574906,2023
South Korea,2,-0.1792490380954297,2023
South Korea,3,0.3338854818950489,2023
South Korea,4,-0.6630579047514508,2023
South Korea,5,-0.5020519681345559,2023
South Korea,6,-0.28412963672765007,2023
China,-6,0.2505666300786342,2023
China,-5,0.49816180421244777,2023
China,-4,0.46235693626743485,2023
China,-3,0.33862407016946316,2023
China,-2,0.5002070501532802,2023
China,-1,0.39164310970647487,2023
China,0,0.40926633505146176,2023
China,1,0.28296757329714783,2023
China,2,0.20056699737174294,2023
China,3,0.35783067666489643,2023
China,4,0.41922525118586546,2023
China,5,0.26176960934999044,2023
China,6,-0.308146229589336,2023
Taiwan,-6,-0.09263611348848173,2023
Taiwan,-5,0.40575201869741256,2023
Taiwan,-4,0.6260271431702115,2023
Taiwan,-3,0.6382580022796711,2023
Taiwan,-2,0.48093390407676095,2023
Taiwan,-1,0.4042950912343938,2023
Taiwan,0,0.2170411302361076,2023
Taiwan,1,0.23594473810346073,2023
Taiwan,2,-0.08502307646681123,2023
Taiwan,3,-0.24518313234393435,2023
Taiwan,4,-0.03143099811007937,2023
Taiwan,5,0.5044326518174872,2023
Taiwan,6,-0.5729189402366354,2023
Hong Kong,-6,0.3597889858413202,2023
Hong Kong,-5,-0.03141890613153578,2023
Hong Kong,-4,-0.3592459460713082,2023
Hong Kong,-3,-0.5892352883579753,2023
Hong Kong,-2,-0.915834844412416,2023
Hong Kong,-1,-0.7458594454560489,2023
Hong Kong,0,-0.47510058583469006,2023
Hong Kong,1,-0.47944739830125843,2023
Hong Kong,2,-0.5722144711253928,2023
Hong Kong,3,-0.624286045200304,2023
Hong Kong,4,-0.5913073894008318,2023
Hong Kong,5,-0.5872640102018023,2023
Hong Kong,6,-0.15219184582906375,2023
United States,-6,0.10813637027534449,2023
United States,-5,-0.013024494046149287,2023
United States,-4,0.24457661183638815,2023
United States,-3,-0.3665932695121642,2023
United States,-2,-0.8225454548003749,2023
United States,-1,-0.6569174490596118,2023
United States,0,-0.22378207190106375,2023
United States,1,-0.2892490385366519,2023
United States,2,0.3024930094534878,2023
United States,3,0.5843890428881131,2023
United States,4,0.074778020392471,2023
United States,5,-0.441974400966296,2023
United States,6,-0.16616042246521423,2023
Thailand,-6,0.5689630092967605,2023
Thailand,-5,-0.2440740491829235,2023
Thailand,-4,-0.6596020055615457,2023
Thailand,-3,-0.6497554157571194,2023
Thailand,-2,-0.3707937691138204,2023
Thailand,-1,0.11679530082252024,2023
Thailand,0,0.5619807904171528,2023
Thailand,1,0.5899513725642443,2023
Thailand,2,0.35305208857744025,2023
Thailand,3,-0.3149569373445998,2023
Thailand,4,-0.7440410269621527,2023
Thailand,5,-0.9527974287302207,2023
Thailand,6,-0.8150467994656677,2023
