date,Kyoto travel,Tokyo travel,isPartial,period
2004-12-26,0,0,False,2005-2009
2005-01-02,0,0,False,2005-2009
2005-01-09,0,0,False,2005-2009
2005-01-16,0,0,False,2005-2009
2005-01-23,0,0,False,2005-2009
2005-01-30,0,0,False,2005-2009
2005-02-06,0,100,False,2005-2009
2005-02-13,0,0,False,2005-2009
2005-02-20,0,0,False,2005-2009
2005-02-27,0,0,False,2005-2009
2005-03-06,0,0,False,2005-2009
2005-03-13,0,97,False,2005-2009
2005-03-20,0,0,False,2005-2009
2005-03-27,0,0,False,2005-2009
2005-04-03,0,0,False,2005-2009
2005-04-10,0,0,False,2005-2009
2005-04-17,0,77,False,2005-2009
2005-04-24,0,0,False,2005-2009
2005-05-01,0,82,False,2005-2009
2005-05-08,0,0,False,2005-2009
2005-05-15,0,69,False,2005-2009
2005-05-22,0,0,False,2005-2009
2005-05-29,0,87,False,2005-2009
2005-06-05,0,82,False,2005-2009
2005-06-12,0,86,False,2005-2009
2005-06-19,0,66,False,2005-2009
2005-06-26,0,0,False,2005-2009
2005-07-03,0,68,False,2005-2009
2005-07-10,0,72,False,2005-2009
2005-07-17,0,0,False,2005-2009
2005-07-24,0,0,False,2005-2009
2005-07-31,0,61,False,2005-2009
2005-08-07,0,0,False,2005-2009
2005-08-14,0,0,False,2005-2009
2005-08-21,0,0,False,2005-2009
2005-08-28,0,85,False,2005-2009
2005-09-04,0,63,False,2005-2009
2005-09-11,0,80,False,2005-2009
2005-09-18,0,0,False,2005-2009
2005-09-25,0,64,False,2005-2009
2005-10-02,0,73,False,2005-2009
2005-10-09,0,0,False,2005-2009
2005-10-16,0,0,False,2005-2009
2005-10-23,0,57,False,2005-2009
2005-10-30,0,0,False,2005-2009
2005-11-06,0,70,False,2005-2009
2005-11-13,0,0,False,2005-2009
2005-11-20,0,0,False,2005-2009
2005-11-27,0,0,False,2005-2009
2005-12-04,0,73,False,2005-2009
2005-12-11,0,0,False,2005-2009
2005-12-18,0,0,False,2005-2009
2005-12-25,0,81,False,2005-2009
2006-01-01,0,0,False,2005-2009
2006-01-08,0,72,False,2005-2009
2006-01-15,0,0,False,2005-2009
2006-01-22,0,0,False,2005-2009
2006-01-29,0,0,False,2005-2009
2006-02-05,0,56,False,2005-2009
2006-02-12,0,0,False,2005-2009
2006-02-19,0,61,False,2005-2009
2006-02-26,0,0,False,2005-2009
2006-03-05,0,56,False,2005-2009
2006-03-12,0,0,False,2005-2009
2006-03-19,0,0,False,2005-2009
2006-03-26,0,0,False,2005-2009
2006-04-02,0,0,False,2005-2009
2006-04-09,0,0,False,2005-2009
2006-04-16,0,0,False,2005-2009
2006-04-23,0,0,False,2005-2009
2006-04-30,0,72,False,2005-2009
2006-05-07,0,0,False,2005-2009
2006-05-14,0,60,False,2005-2009
2006-05-21,0,0,False,2005-2009
2006-05-28,0,0,False,2005-2009
2006-06-04,0,0,False,2005-2009
2006-06-11,0,47,False,2005-2009
2006-06-18,51,51,False,2005-2009
2006-06-25,0,54,False,2005-2009
2006-07-02,0,55,False,2005-2009
2006-07-09,0,54,False,2005-2009
